"PVWatts: Hourly PV Performance Data"
"Requested Location:","johannesburg south africa"
"Location:","HARARE, ZIMBABWE"
"Lat (deg S):","17.92"
"Long (deg E):","31.13"
"Elev (m):","1503"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","30"
"Array Azimuth (deg):","0"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","1.85"
"Initial Cost","40.00"
"Cost of Electricity Generated by System ($/kWh):","1.88"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","6","18","0","0","21.2","2.7","0","21.2","0","0"
"4","6","19","0","0","19.6","1","0","19.6","0","0"
"4","6","20","0","0","18.6","1.5","0","18.6","0","0"
"4","6","21","0","0","17.7","2.1","0","17.7","0","0"
"4","6","22","0","0","16.7","2.6","0","16.7","0","0"
"4","6","23","0","0","16.2","2.3","0","16.2","0","0"
"4","7","0","0","0","15.7","2.1","0","15.7","0","0"
"4","7","1","0","0","15.2","1.8","0","15.2","0","0"
"4","7","2","0","0","14.8","1.5","0","14.8","0","0"
"4","7","3","0","0","14.3","1.3","0","14.3","0","0"
"4","7","4","0","0","13.8","1","0","13.8","0","0"
"4","7","5","0","0","13.4","1","0","13.4","0","0"
"4","7","6","2","32","15","3","29.674","14.107","80.135","61.96"
"4","7","7","88","134","16.6","5","165.587","18.574","431.124","405.617"
"4","7","8","177","252","18.8","5","364.991","24.931","935.715","897.216"
"4","7","9","287","337","20.9","5","583.264","31.623","1455.589","1400.678"
"4","7","10","451","339","23.1","5","788.96","38.159","1909.169","1837.431"
"4","7","11","343","432","23","5","797.172","38.542","1925.789","1853.39"
"4","7","12","283","446","23","5","750.897","37.667","1821.969","1753.647"
"4","7","13","314","345","23","5","653.326","35.716","1600.292","1540.267"
"4","7","14","153","364","22.9","5","490.623","32.317","1220.845","1173.724"
"4","7","15","124","249","22.8","5","326.869","28.774","823.649","788.285"
"4","7","16","78","130","22.8","5","156.59","25.187","395.428","370.731"
"4","7","17","26","29","21.5","3.7","31.87","21.118","79.407","61.246"
"4","7","18","0","0","20.3","2.3","0","20.3","0","0"
"4","7","19","0","0","19","1","0","19","0","0"
"4","7","20","0","0","18.4","2","0","18.4","0","0"
"4","7","21","0","0","17.8","3","0","17.8","0","0"
"4","7","22","0","0","17.2","4","0","17.2","0","0"
"4","7","23","0","0","16.9","3.5","0","16.9","0","0"
"4","8","0","0","0","16.5","3","0","16.5","0","0"
"4","8","1","0","0","16.2","2.5","0","16.2","0","0"
"4","8","2","0","0","15.9","2","0","15.9","0","0"
"4","8","3","0","0","15.5","1.5","0","15.5","0","0"
"4","8","4","0","0","15.2","1","0","15.2","0","0"
"4","8","5","0","0","14.1","0","0","14.1","0","0"
"4","8","6","229","33","15.8","1.5","80.598","16.199","177.626","157.555"
